jobid,callback,black,crimrec,interact,city,distance,custserv,manualskill
24,1,0,0,0,1,1,0,0
2,0,0,0,0,1,3,0,0
58,0,0,0,0,0,12,1,1
21,0,0,1,0,1,1,0,1
53,1,0,0,0,0,20,1,0
29,0,0,0,0,0,18,0,0
45,1,0,0,0,0,15,0,0
132,0,0,0,0,1,10,1,0
99,0,0,0,0,0,22,0,1
142,0,0,0,0,1,8,1,0
23,0,0,1,0,0,11,0,0
78,0,0,1,0,0,20,0,1
71,0,0,1,0,1,5,1,1
12,0,0,1,1,1,10,1,0
93,1,0,0,0,0,12,0,1
8,0,0,0,0,0,15,0,0
3,0,0,0,0,0,15,0,0
82,0,0,1,0,0,12,1,0
103,0,0,1,1,0,18,1,1
16,0,0,1,0,0,20,1,0
142,0,0,1,0,1,8,1,0
121,1,0,1,1,0,20,0,1
109,0,0,0,0,0,16,1,0
79,0,0,0,0,0,20,0,1
45,0,0,1,0,0,15,0,0
1179,0,1,1,0,0,12,1,0
1180,0,1,1,0,1,1,1,0
1136,0,1,0,0,0,15,0,1
1095,0,1,0,1,0,14,1,1
1076,0,1,1,0,1,5,0,1
1143,0,1,1,0,1,2,0,1
1131,0,1,0,0,1,5,1,0
1106,0,1,1,0,0,15,1,0
1059,0,1,1,1,0,21,1,0
1156,0,1,1,1,0,11,1,1
1047,0,1,1,0,1,10,0,0
1163,0,1,0,0,1,5,1,0
1163,0,1,1,0,1,5,1,0
1023,0,1,0,1,0,15,1,0
1160,1,1,0,1,1,8,1,0
1193,1,1,0,1,1,12,1,1
1002,0,1,0,0,1,1,1,0
1097,0,1,0,0,0,16,0,1
1193,1,1,1,1,1,12,1,1
1023,0,1,1,1,0,15,1,0
1136,0,1,1,0,0,15,0,1
1030,0,1,0,1,1,15,1,0
1074,0,1,1,0,0,16,1,0
1119,1,1,1,1,0,20,0,1
1097,1,1,0,1,0,16,0,1
1085,0,1,1,0,1,2,1,1
1070,0,1,0,0,1,5,0,1
1131,0,1,1,1,1,5,1,0
1065,0,1,0,1,0,9,1,0
1189,0,1,0,0,1,1,1,0
1032,0,1,1,0,1,10,0,0
1033,0,1,1,0,1,2,1,0
1186,0,1,0,0,1,1,0,1
1094,0,1,1,1,0,14,1,1
1074,0,1,0,0,0,16,1,0
1059,1,1,0,1,0,21,1,0
1111,0,1,0,0,0,10,1,0
1039,0,1,1,1,1,4,0,0
1039,0,1,0,1,1,4,0,0
1143,0,1,0,0,1,2,0,1
1030,0,1,1,0,1,15,1,0
1194,1,1,0,0,0,10,1,0
1065,0,1,1,1,0,9,1,0
1111,0,1,1,1,0,10,1,0
1180,0,1,0,0,1,1,1,0
1184,0,1,1,0,1,1,1,0
1070,0,1,1,0,1,5,0,1
1076,0,1,0,0,1,5,0,1
1137,0,1,0,1,1,8,0,1
1181,0,1,1,0,1,1,0,1
1186,0,1,1,1,1,1,0,1
1151,0,1,0,0,0,15,0,1
1137,0,1,1,0,1,8,0,1
1133,0,1,1,0,1,4,1,1
1114,0,1,0,1,0,7,1,0
1093,0,1,1,1,0,16,0,1
1068,0,1,1,0,0,20,0,1
1112,0,1,0,0,0,20,1,0
1033,0,1,0,0,1,2,1,0
1189,0,1,1,0,1,1,1,0
1160,0,1,0,0,1,8,1,0
1106,0,1,0,0,0,15,1,0
1112,0,1,1,1,0,20,1,0
1093,0,1,0,0,0,16,0,1
1002,0,1,1,0,1,1,1,0
1054,0,1,0,0,0,18,0,1
1194,1,1,1,0,0,10,1,0
1179,1,1,0,1,0,12,1,0
1114,0,1,1,1,0,7,1,0
1068,1,1,0,0,0,20,0,1
1139,0,1,0,0,0,10,1,0
1133,0,1,0,0,1,4,1,1
1181,0,1,0,0,1,1,0,1
1054,0,1,1,0,0,18,0,1
1140,0,1,1,0,0,10,1,0
1184,0,1,0,0,1,1,1,0
1156,0,1,0,1,0,11,1,1
1032,0,1,0,0,1,10,0,0
1119,1,1,0,1,0,20,0,1
1151,0,1,1,0,0,15,0,1
1085,0,1,0,0,1,2,1,1
1047,0,1,0,0,1,10,0,0
1035,1,1,0,1,0,18,0,1
1199,0,1,1,0,1,13,1,0
1200,0,1,1,1,1,1,1,1
1092,0,1,0,0,0,11,1,0
1124,0,1,1,1,0,20,1,0
1178,0,1,1,0,0,18,1,1
1175,0,1,0,0,1,8,1,0
1048,0,1,1,0,1,10,0,1
1089,0,1,1,0,0,9,1,0
1198,0,1,1,0,1,15,0,1
1121,0,1,1,0,0,13,0,1
1153,0,1,0,0,1,8,0,1
1149,0,1,1,0,0,15,1,0
1185,0,1,1,0,0,6,1,0
1014,0,1,1,0,1,8,0,1
1129,0,1,1,0,1,6,0,1
1049,0,1,1,0,0,20,0,0
1082,0,1,0,0,1,4,1,0
1141,0,1,0,0,0,12,0,1
1028,0,1,0,0,0,22,1,1
1038,0,1,0,0,1,4,1,0
1007,0,1,1,1,1,17,1,0
1103,0,1,1,0,0,17,0,1
1135,0,1,1,0,0,15,1,1
1071,0,1,1,0,0,12,0,1
1008,0,1,1,0,1,3,0,1
1009,0,1,0,0,0,10,0,0
1051,0,1,0,0,1,10,0,1
1170,0,1,0,0,0,10,1,1
1124,0,1,0,1,0,20,1,0
1168,0,1,1,0,0,10,1,0
1031,0,1,1,1,0,22,1,0
1049,0,1,0,0,0,20,0,0
1107,0,1,1,0,0,19,1,1
1077,0,1,0,0,1,8,1,0
1195,0,1,0,0,0,20,1,1
1128,0,1,0,0,0,15,1,0
1174,0,1,1,0,0,14,0,1
1123,1,1,0,0,1,16,1,1
1148,0,1,1,0,0,10,1,1
1069,0,1,0,0,1,8,1,0
1144,0,1,1,1,1,6,1,1
1126,0,1,1,0,0,20,1,1
1060,0,1,0,0,0,15,0,1
1022,0,1,1,0,1,12,1,1
1120,0,1,0,0,1,14,0,1
1113,0,1,1,1,0,12,1,0
1005,0,1,0,0,0,21,0,1
1061,0,1,1,0,1,10,1,0
1176,1,1,1,0,1,9,1,1
1101,0,1,0,1,0,15,1,1
1115,0,1,1,0,0,14,1,0
1132,0,1,0,1,0,7,1,0
1006,1,1,0,1,0,21,0,1
1166,0,1,0,0,0,10,1,0
1016,0,1,1,0,0,22,0,1
1053,0,1,1,0,0,20,1,1
1164,0,1,1,0,1,7,1,0
1041,0,1,0,0,1,2,0,1
1015,0,1,1,0,1,1,1,0
1069,0,1,1,0,1,8,1,0
1130,1,1,0,0,1,7,1,0
1006,0,1,1,0,0,21,0,1
1016,0,1,0,0,0,22,0,1
1107,0,1,0,0,0,19,1,1
1042,0,1,1,0,0,15,0,1
1141,0,1,1,0,0,12,0,1
1017,0,1,0,0,0,15,1,0
1149,0,1,0,0,0,15,1,0
1090,0,1,0,0,1,7,1,0
1148,1,1,0,1,0,10,1,1
1052,0,1,0,0,1,11,1,1
1159,1,1,0,1,0,13,1,0
1158,0,1,0,0,0,15,1,0
1058,0,1,0,1,1,15,1,0
1109,0,1,0,0,0,15,0,1
1191,0,1,0,0,1,7,1,0
1084,0,1,0,0,1,2,1,1
1045,0,1,0,0,1,5,0,1
1028,0,1,1,1,0,22,1,1
1192,1,1,1,0,1,10,1,0
1132,0,1,1,1,0,7,1,0
1125,0,1,0,0,0,20,1,1
1127,0,1,1,1,0,10,1,1
1024,0,1,1,0,1,8,1,0
1161,0,1,0,0,1,5,1,1
1042,0,1,0,1,0,15,0,1
1027,0,1,0,0,0,16,1,0
1171,0,1,1,0,0,10,1,0
1147,0,1,0,0,1,1,0,1
1079,0,1,1,0,1,7,1,0
1159,0,1,1,1,0,13,1,0
1120,0,1,1,0,1,14,0,1
1104,0,1,1,0,0,18,1,1
1014,0,1,0,0,1,8,0,1
1084,0,1,1,1,1,2,1,1
1146,0,1,1,0,0,16,1,0
1013,0,1,1,0,0,20,0,0
1190,0,1,0,0,0,23,1,0
1145,1,1,1,0,1,4,1,0
1013,1,1,0,0,0,20,0,0
1021,0,1,1,0,0,21,1,0
1122,0,1,0,0,0,20,0,1
1062,0,1,0,0,0,11,1,1
1134,0,1,1,0,0,14,1,1
1177,0,1,0,0,0,9,0,1
1130,0,1,1,0,1,7,1,0
1073,0,1,1,0,0,18,1,0
1056,0,1,0,0,1,5,1,0
1172,0,1,0,0,0,10,1,1
1015,0,1,0,0,1,1,1,0
1083,0,1,1,1,1,10,1,1
1078,0,1,1,0,1,8,1,0
1169,0,1,0,0,0,10,1,0
1060,0,1,1,0,0,15,0,1
1108,0,1,0,0,1,8,1,1
1043,0,1,1,0,1,1,1,0
1105,0,1,1,0,0,20,1,1
1086,0,1,1,0,0,18,1,0
1024,0,1,0,0,1,8,1,0
1081,0,1,1,1,0,20,0,1
1127,0,1,0,0,0,10,1,1
1173,0,1,0,0,1,10,1,0
1031,0,1,0,0,0,22,1,0
1025,1,1,0,0,1,12,0,1
1058,0,1,1,1,1,15,1,0
1175,0,1,1,0,1,8,1,0
1098,0,1,0,0,0,15,0,1
1044,0,1,0,0,0,15,0,0
1138,0,1,1,0,0,16,1,1
1087,1,1,0,1,0,20,1,0
1176,1,1,0,1,1,9,1,1
1045,0,1,1,0,1,5,0,1
1153,0,1,1,0,1,8,0,1
1147,0,1,1,1,1,1,0,1
1157,0,1,1,0,1,8,1,0
1168,0,1,0,0,0,10,1,0
1003,1,1,1,0,0,8,0,1
1099,0,1,1,1,1,3,1,0
1034,0,1,1,0,1,8,1,0
1050,0,1,0,0,0,14,1,0
1017,0,1,1,0,0,15,1,0
1134,0,1,0,0,0,14,1,1
1144,0,1,0,0,1,6,1,1
1063,0,1,0,0,0,14,0,1
1077,0,1,1,0,1,8,1,0
1019,0,1,0,0,0,18,0,1
1108,0,1,1,0,1,8,1,1
1061,0,1,0,0,1,10,1,0
1167,0,1,0,0,0,10,1,0
1102,1,1,0,0,1,1,1,1
1155,1,1,1,1,0,12,1,0
1190,0,1,1,0,0,23,1,0
1092,0,1,1,0,0,11,1,0
1083,0,1,0,1,1,10,1,1
1079,0,1,0,0,1,7,1,0
1037,0,1,1,0,0,20,0,1
1087,0,1,1,0,0,20,1,0
1040,0,1,0,0,1,2,1,0
1034,0,1,0,0,1,8,1,0
1026,1,1,0,1,0,16,0,1
1117,0,1,1,0,0,12,0,1
1161,0,1,1,0,1,5,1,1
1053,0,1,0,0,0,20,1,1
1036,0,1,1,0,0,14,0,1
1026,0,1,1,1,0,16,0,1
1008,0,1,0,0,1,3,0,1
1019,0,1,1,0,0,18,0,1
1103,0,1,0,0,0,17,0,1
1010,0,1,1,0,0,10,1,0
1173,0,1,1,1,1,10,1,0
1027,0,1,1,0,0,16,1,0
1086,1,1,0,0,0,18,1,0
1072,0,1,1,0,0,11,1,1
1123,0,1,1,0,1,16,1,1
1010,0,1,0,1,0,10,1,0
1011,0,1,0,0,1,1,0,0
1116,0,1,0,0,0,15,1,0
1170,0,1,1,1,0,10,1,1
1072,0,1,0,0,0,11,1,1
1011,0,1,1,0,1,1,0,0
1117,0,1,0,0,0,12,0,1
1080,0,1,1,1,0,11,1,1
1110,0,1,1,1,0,13,1,0
1088,0,1,0,0,0,13,0,1
1146,0,1,0,0,0,16,1,0
1116,0,1,1,1,0,15,1,0
1125,0,1,1,0,0,20,1,1
1048,0,1,0,0,1,10,0,1
1183,0,1,1,0,0,17,1,1
1115,0,1,0,0,0,14,1,0
1200,0,1,0,1,1,1,1,1
1012,0,1,0,1,1,17,0,1
1096,0,1,1,1,0,12,1,0
1004,0,1,0,0,1,15,1,0
1169,0,1,1,1,0,10,1,0
1029,0,1,1,0,0,10,0,1
1165,0,1,1,1,0,10,1,0
1044,0,1,1,0,0,15,0,0
1075,0,1,0,0,1,8,1,1
1164,0,1,0,1,1,7,1,0
1195,0,1,1,0,0,20,1,1
1118,0,1,1,0,0,10,0,1
1096,0,1,0,1,0,12,1,0
1046,0,1,0,0,1,2,1,1
1018,0,1,1,0,1,1,0,1
1046,0,1,1,1,1,2,1,1
1166,0,1,1,1,0,10,1,0
1192,1,1,0,1,1,10,1,0
1057,0,1,1,0,0,0,1,0
1128,0,1,1,0,0,15,1,0
1052,0,1,1,0,1,11,1,1
1067,0,1,1,1,0,12,1,0
1073,0,1,0,0,0,18,1,0
1099,0,1,0,1,1,3,1,0
1104,0,1,0,0,0,18,1,1
1098,0,1,1,0,0,15,0,1
1199,0,1,0,0,1,13,1,0
1138,0,1,0,0,0,16,1,1
1055,0,1,0,0,1,7,1,1
1071,0,1,0,0,0,12,0,1
1055,0,1,1,0,1,7,1,1
1162,0,1,1,0,1,5,1,0
1005,0,1,1,1,0,21,0,1
1022,0,1,0,0,1,12,1,1
1183,0,1,0,0,0,17,1,1
1090,0,1,1,0,1,7,1,0
1150,0,1,1,0,0,14,1,0
1172,0,1,1,0,0,10,1,1
1154,0,1,0,0,0,10,1,1
1113,0,1,0,1,0,12,1,0
1198,0,1,0,0,1,15,0,1
1126,0,1,0,0,0,20,1,1
1182,0,1,0,0,0,6,0,1
1142,0,1,0,0,1,1,1,0
1051,0,1,1,0,1,10,0,1
1145,1,1,0,0,1,4,1,0
1185,0,1,0,0,0,6,1,0
1064,0,1,1,0,0,16,0,1
1021,0,1,0,0,0,21,1,0
1001,0,1,1,0,0,15,0,0
1066,0,1,1,1,0,15,1,0
1062,0,1,1,0,0,11,1,1
1035,0,1,1,0,0,18,0,1
1081,0,1,0,1,0,20,0,1
1177,0,1,1,0,0,9,0,1
1012,0,1,1,0,1,17,0,1
1041,0,1,1,0,1,2,0,1
1191,0,1,1,0,1,7,1,0
1063,0,1,1,0,0,14,0,1
1118,0,1,0,0,0,10,0,1
1152,0,1,0,1,0,15,1,1
1038,0,1,0,1,1,4,1,0
1043,0,1,0,0,1,1,1,0
1091,0,1,0,0,0,14,1,0
1064,0,1,0,0,0,16,0,1
1152,0,1,1,0,0,15,1,1
1157,0,1,0,0,1,8,1,0
1020,0,1,0,1,1,8,1,0
1162,0,1,0,0,1,5,1,0
1082,0,1,1,0,1,4,1,0
1110,1,1,0,1,0,13,1,0
1142,0,1,1,0,1,1,1,0
1196,0,1,1,0,0,14,0,1
1196,0,1,0,0,0,14,0,1
1056,0,1,1,0,1,5,1,0
1018,0,1,1,0,1,1,0,1
1029,0,1,0,0,0,10,0,1
1109,0,1,1,0,0,15,0,1
1197,0,1,0,0,0,14,1,0
1040,0,1,1,0,1,2,1,0
1150,1,1,0,1,0,14,1,0
1165,0,1,0,1,0,10,1,0
1050,0,1,1,0,0,14,1,0
1020,0,1,1,0,1,8,1,0
1091,0,1,1,0,0,14,1,0
1122,0,1,1,0,0,20,0,1
1075,0,1,1,0,1,8,1,1
1088,0,1,1,0,0,13,0,1
1001,0,1,0,1,0,15,0,0
1037,0,1,0,1,0,20,0,1
1036,0,1,1,0,0,14,0,1
1178,0,1,0,0,0,18,1,1
1007,0,1,0,0,1,17,1,0
1078,0,1,0,0,1,8,1,0
1003,1,1,0,0,0,8,0,1
1174,0,1,0,0,0,14,0,1
1080,0,1,0,1,0,11,1,1
1135,0,1,0,1,0,15,1,1
1171,0,1,0,0,0,10,1,0
1154,0,1,1,0,0,10,1,1
1187,0,1,1,0,0,6,0,1
1066,1,1,0,1,0,15,1,0
1009,0,1,1,0,0,10,0,0
1167,0,1,1,1,0,10,1,0
1155,1,1,0,1,0,12,1,0
1067,0,1,0,0,0,12,1,0
1057,0,1,0,0,0,0,1,0
1004,0,1,1,0,1,15,1,0
1121,0,1,0,1,0,13,0,1
1182,0,1,1,0,0,6,0,1
1102,0,1,1,1,1,1,1,1
1188,0,1,1,0,0,15,0,1
1187,0,1,0,1,0,6,0,1
1188,0,1,0,0,0,15,0,1
1105,0,1,0,0,0,20,1,1
1101,0,1,1,1,0,15,1,1
1089,0,1,0,0,0,9,1,0
1025,1,1,1,0,1,12,0,1
1129,0,1,0,0,1,6,0,1
1158,0,1,1,0,0,15,1,0
1197,0,1,1,0,0,14,1,0
1100,1,1,1,0,,,,
1100,0,1,0,0,,,,
