"treatment","cash","accts_amt","stroop_time","income_less20k"
"After Payday",159,6000,7.44394417603811,0
"Before Payday",5000,9000,7.67100328207016,0
"Before Payday",15,40,7.18113407492638,1
"After Payday",75,1100,7.76887631416321,0
"Before Payday",250,3000,7.30363647143046,1
"After Payday",113,33700,7.46263446410497,0
"Before Payday",20,500,7.54991020262241,1
"After Payday",200,2000,7.48583803574244,1
"After Payday",NA,NA,7.46981100241343,0
"Before Payday",120,3500,7.68394258618355,0
"Before Payday",400,8000,7.56735024849574,1
"After Payday",23,700,7.87064562241236,1
"Before Payday",175,26000,7.36562642455101,0
"After Payday",65,75,7.45067472259204,0
"After Payday",350,10000,7.80717572569847,0
"After Payday",18,4500,7.85861371954282,1
"After Payday",40,2500,7.63524354497592,1
"After Payday",100,800,7.54013755473685,1
"Before Payday",NA,NA,7.5890250702699,0
"Before Payday",60,400,7.47629305720329,1
"After Payday",50,2,7.52980495492617,1
"After Payday",40,700,7.66662308573723,0
"Before Payday",12,230,7.56855860352516,1
"After Payday",5,NA,7.51967730124791,1
"Before Payday",100,10000,7.21591142813365,0
"Before Payday",80,7000,7.57955269018809,0
"Before Payday",0,54,7.81570270657539,1
"After Payday",50,1500,7.29709984858831,1
"After Payday",160,415,7.48815687497457,1
"After Payday",NA,NA,7.23887239893277,1
"Before Payday",2000,20000,7.25161688526471,0
"After Payday",100,2000,7.5193808277448,1
"After Payday",40,1055,7.55333667993546,0
"Before Payday",500,1000,7.3410938779513,1
"After Payday",500,3000,7.45417699217796,0
"After Payday",6,3,7.47909993926684,0
"After Payday",10,0,7.58262019356092,1
"After Payday",50,300,7.43684933582942,0
"After Payday",10,10,7.60603844126066,0
"After Payday",3,6000,7.26555237174034,0
"Before Payday",53,165,7.69360027710597,0
"After Payday",150,22000,7.76936277747154,0
"Before Payday",3,0,7.47078895568848,1
"Before Payday",0,1375,7.57373390595118,0
"After Payday",50,15000,7.60289862751961,1
"Before Payday",9,3,7.28170848886172,1
"Before Payday",20,1000,7.49366186062495,0
"Before Payday",20,120,7.38563151160876,0
"Before Payday",500,2000,7.46569140752157,1
"Before Payday",20,200,7.59620204567909,0
"Before Payday",100,500,7.67839975158374,1
"Before Payday",148,450,7.5494130452474,1
"Before Payday",10,2600,7.67520980040232,1
"After Payday",2,NA,7.64478808641434,0
"After Payday",100,4000,7.55931610862414,0
"Before Payday",40,30,7.88486661513646,0
"After Payday",20,2100,7.5942808787028,1
"After Payday",0,0,7.3608620762825,1
"After Payday",NA,NA,7.52980359395345,0
"After Payday",100,NA,7.80024070541064,0
"Before Payday",20,2500,7.249061246713,1
"Before Payday",NA,NA,7.8738021949927,1
"Before Payday",6,80,7.56614162524541,0
"After Payday",0,15000,7.26112600167592,0
"After Payday",145,560,7.38318956891696,0
"Before Payday",33,22100,7.39135921001434,0
"Before Payday",250,12000,7.94573862353961,0
"After Payday",115,2150,7.2837305466334,1
"After Payday",NA,NA,7.42570175727208,1
"Before Payday",0,0,7.47084730863571,0
"After Payday",60,150,7.4545669456323,0
"After Payday",60,1500,7.44207875927289,1
"Before Payday",45,560,7.845484405756,0
"After Payday",25,2000,7.98736620942752,0
"Before Payday",43,380,7.46828778584798,0
"Before Payday",73,6000,7.45464860399564,0
"After Payday",50,2500,7.61084232727687,0
"Before Payday",20,NA,7.77491518855095,0
"After Payday",100,1000,7.44899552067121,0
"After Payday",20,150,7.75394337375959,1
"Before Payday",60,NA,7.5092013378938,0
"After Payday",50,400,7.52436806758245,0
"Before Payday",20,45,7.7121443649133,1
"Before Payday",0,0,7.62496502855991,0
"Before Payday",50,150,7.65818578004837,0
"After Payday",2,6,7.42169046401978,1
"Before Payday",100,50,7.21491052707036,0
"After Payday",25,300,7.56247158845266,0
"After Payday",90,5000,7.41039375464122,0
"After Payday",NA,NA,7.56424873073896,1
"After Payday",200,3500,7.82121991117795,1
"After Payday",67,15500,7.55638268589973,1
"Before Payday",90,2400,7.34956268469493,0
"After Payday",NA,NA,7.28110021352768,0
"After Payday",200,NA,7.75247644384702,0
"After Payday",200,5000,7.62318911155065,0
"After Payday",0,0,7.58002080519994,1
"After Payday",100,100,7.51208478212357,0
"After Payday",20,NA,7.44702943166097,1
"Before Payday",50,70000,7.25925256808599,0
"After Payday",NA,NA,8.51719284057617,1
"After Payday",20,13000,7.48229321837425,0
"Before Payday",20,3000,7.14214410384496,0
"After Payday",20,500,7.49136040608088,1
"After Payday",90,200,7.25188525517782,1
"Before Payday",2000,10,7.4770385324955,0
"Before Payday",1,5,7.51718194286029,0
"After Payday",100,1000,7.5516871213913,0
"After Payday",21,3000,7.24254230658213,0
"Before Payday",50,500,7.5476026336352,0
"Before Payday",1,1,7.31648263335228,1
"After Payday",NA,NA,7.40235043565432,0
"After Payday",NA,NA,7.67750449975332,0
"Before Payday",50,20,7.52697133024534,1
"Before Payday",260,367,7.71516659855843,1
"After Payday",50,1500,7.53469762206078,1
"After Payday",3000,30000,7.37020284930865,0
"After Payday",700,700,7.82636712988218,1
"Before Payday",50,700,7.69241560498873,0
"After Payday",40,5000,8.03866076469421,0
"Before Payday",0,NA,7.55061650276184,1
"Before Payday",1000,10000,7.36259572704633,1
"Before Payday",616,1100,7.67999071876208,0
"Before Payday",30,3500,7.29778100053469,0
"After Payday",60,0,7.74053746461868,0
"After Payday",0,NA,7.38525512814522,1
"After Payday",75,6,7.28254159291585,1
"Before Payday",150,4000,7.64555330077807,1
"Before Payday",11,600,7.37580534815788,0
"Before Payday",45,40000,7.67219036817551,0
"After Payday",NA,NA,8.51719284057617,0
"Before Payday",120,1900,7.24542745947838,1
"Before Payday",28,286,7.43743381897608,1
"After Payday",30,NA,7.4763102332751,1
"After Payday",80,17000,7.62544908126195,0
"Before Payday",0,9,7.43134900927544,1
"After Payday",1300,500,7.78849814335505,0
"After Payday",50,50,6.55831211805344,1
"After Payday",1000,NA,7.52796453237534,0
"After Payday",0,20,7.95929173628489,1
"Before Payday",80,200,7.20730896790822,0
"Before Payday",500,10000,7.1800711452961,0
"Before Payday",5,175,7.72359891732534,0
"Before Payday",NA,NA,7.62707330783208,0
"Before Payday",1000,50000,7.50339462359746,1
"Before Payday",NA,NA,7.79563220342,1
"Before Payday",200,10000,7.62802957495054,0
"Before Payday",25,10,7.44799606005351,0
"After Payday",75,3000,7.27765024701754,0
"Before Payday",86,3200,7.56396183371544,1
"After Payday",0,NA,7.85021248459816,0
"After Payday",0,0,7.59802997112274,0
"After Payday",34,1800,7.55768802762032,0
"Before Payday",120,130,7.70009774963061,0
"Before Payday",1200,3000,7.43239600459735,0
"Before Payday",14,2000,7.94687538345655,1
"Before Payday",5,3,7.72906376918157,1
"After Payday",21,200,7.8188424607118,0
"Before Payday",300,3000,7.61869463324547,0
"After Payday",2000,5000,7.61558469136556,0
"Before Payday",290,NA,7.41497513155142,1
"After Payday",85,30000,7.57387690742811,0
"After Payday",400,5000,7.46284339825312,0
"Before Payday",30,60,7.5360103448232,0
"Before Payday",NA,NA,7.28729198376338,0
"After Payday",150,2800,7.1008764008681,0
"Before Payday",0,0,7.50071794788043,1
"Before Payday",120,3800,7.55234312017759,0
"Before Payday",NA,NA,6.8365184267362,0
"Before Payday",28,5000,7.19178475936254,1
"After Payday",20,30,7.2615784406662,0
"After Payday",NA,NA,7.50253120064735,0
"After Payday",10,800,7.50146715839704,1
"Before Payday",300,3500,6.90081849694252,0
"After Payday",2,1000,7.51230809092522,0
"Before Payday",3,0,7.46970717112223,0
"Before Payday",100,700,7.74774831533432,1
"Before Payday",NA,NA,7.51585554083188,0
"After Payday",400,40000,7.85283309221268,0
"Before Payday",0,0,8.11080278952917,1
"Before Payday",8,1000,7.52069927255313,1
"Before Payday",175,1000,7.23417438069979,1
"After Payday",147,NA,7.58111282189687,0
"Before Payday",1,1,7.85671225190163,1
"Before Payday",5,20,7.11697266499201,0
"Before Payday",20,20,7.71016658345858,1
"After Payday",5,1100,7.22974193096161,0
"After Payday",0,36,7.64792216817538,1
"After Payday",1000,1000,6.48916037877401,1
"After Payday",20,NA,7.56168385346731,0
"Before Payday",50,10,7.54868469635646,1
"After Payday",0,100,7.73831298947334,0
"After Payday",20,40,7.44002318382263,0
"Before Payday",25,10000,7.08092483878136,0
"Before Payday",14,80,7.97840638955434,1
"After Payday",200,1500,7.42891411979993,1
"After Payday",0,37,7.62620744109154,1
"Before Payday",15,NA,7.63612390557925,0
"Before Payday",134,25456,7.82313430309296,0
"After Payday",20,800,7.49285310506821,0
"After Payday",28,0,7.82902350028356,0
"After Payday",45,NA,7.52739283442497,0
"Before Payday",NA,NA,7.4186725517114,1
"After Payday",300,10000,7.28040111064911,0
"After Payday",20,7000,7.13024416565895,0
"Before Payday",7,100,7.57209320863088,1
"Before Payday",20,3200,7.13516394297282,1
"After Payday",30,1400,7.76861186822255,1
"After Payday",25,100,7.41363667448362,0
"Before Payday",0,200,7.46111742655436,1
"After Payday",25,200,7.78282642364502,0
"After Payday",100,60000,7.53777397672335,0
"Before Payday",300,1200,7.60110937555631,0
"After Payday",20,35000,7.7161179704869,0
"Before Payday",25,100,7.54031271630145,0
"After Payday",8,NA,7.41589378317197,1
"Before Payday",30,5000,7.63163541754087,0
"After Payday",12,1000,7.8145353893439,1
"Before Payday",25,160,7.67070744434993,1
"After Payday",8,5000,7.24656016627948,0
"Before Payday",40,5000,7.42410825689634,0
"After Payday",2,NA,7.33687154452006,1
"After Payday",65,12500,7.47844176491102,0
"After Payday",36,6000,5.91734345753988,0
"Before Payday",5,38,7.72308473785718,1
"Before Payday",120,3000,7.42968908945719,1
"Before Payday",35,6000,7.45566042264303,0
"Before Payday",0,2500,7.37366299827894,0
"After Payday",40,13000,7.58110160628955,0
"After Payday",20,12000,7.41091836492221,1
"After Payday",150,3,7.94312720497449,1
"Before Payday",7,100,7.72450997432073,0
"After Payday",1,1200,7.50780739386876,0
"After Payday",40,4000,7.0669186313947,0
"After Payday",NA,NA,7.27580618858337,0
"Before Payday",50,1500,7.09101222952207,1
"Before Payday",5,2,7.32025348146756,1
"Before Payday",20,20,7.44351468483607,0
"Before Payday",90,50,7.49453076720238,0
"Before Payday",1100,1000,7.16446006298065,1
"After Payday",28,4500,7.10262209177017,0
"Before Payday",80,20000,7.50077101588249,0
"After Payday",20,5600,7.38286137580872,0
"Before Payday",100,100,7.45448354880015,0
"After Payday",50,2000,7.56887023647626,1
"After Payday",150,3000,7.3598743279775,1
"After Payday",NA,NA,7.42382163802783,1
"Before Payday",NA,NA,7.28618962566058,0
"After Payday",NA,NA,7.46458863218625,1
"After Payday",200,200,7.25927470127742,0
"After Payday",0,1000,7.51733752091726,0
"After Payday",37,500,7.72001906236013,1
"Before Payday",20,260,7.70697011550268,1
"Before Payday",25,2000,7.62514837582906,0
"Before Payday",25,1000,7.83544637759527,0
"Before Payday",NA,NA,7.72286851207415,1
"After Payday",100,15000,7.11341761549314,0
"After Payday",NA,NA,7.57268772522608,1
"Before Payday",20,10,7.52686006824176,0
"Before Payday",40,450,7.57582980394363,1
"Before Payday",0,1,7.36566609144211,1
"After Payday",100,25,7.20459535717964,0
"After Payday",20,100,7.60153949260712,0
"Before Payday",200,400,7.49462183316549,0
"After Payday",200,3000,7.46761495868365,1
"Before Payday",60,3000,7.59201424320539,0
"After Payday",10,NA,7.26635016004245,0
"After Payday",70,2000,7.08998989065488,0
"After Payday",200,2000,7.55451300740242,1
"Before Payday",NA,NA,7.38613491257032,1
"Before Payday",16,31,7.66342741250992,0
"After Payday",45,250,7.42452002565066,1
"After Payday",700,80000,7.74955049157143,0
"After Payday",30,NA,7.67213486631711,0
"After Payday",100,NA,7.48212596774101,1
"Before Payday",20,NA,7.43269774317741,0
"After Payday",300,13000,7.30639832218488,0
"Before Payday",21,24000,7.23647121588389,1
"Before Payday",24,2300,7.20231026411057,0
"After Payday",19,120,7.36365436514219,1
"After Payday",207,850,7.20379075407982,0
"Before Payday",5,NA,7.14903111259143,0
"After Payday",0,1400,7.1949974099795,1
"After Payday",22,NA,7.45833744605382,0
"After Payday",0,1000,7.51671927173932,0
"After Payday",200,25000,7.57221299409866,0
"After Payday",0,400,7.47451778252919,1
"Before Payday",1,45,7.18286371231079,0
"After Payday",50,1200,7.25499665737152,0
"Before Payday",55,5100,7.41900105277697,0
"After Payday",30,5000,7.23136183619499,1
"Before Payday",72,49000,7.55240043997765,0
"After Payday",NA,NA,7.59831105669339,0
"After Payday",65,8000,7.49966359138489,0
"After Payday",NA,NA,7.43940084179242,1
"Before Payday",37,58,7.26000410318375,1
"After Payday",2,1000,7.71035482486089,0
"After Payday",20,100,7.79001566767693,0
"After Payday",400,0,7.5909654100736,0
"Before Payday",10,105,7.6938448548317,1
"After Payday",330,NA,7.49855580925941,1
"After Payday",150,10,7.86519791682561,1
"Before Payday",30,9,7.24918230374654,1
"After Payday",0,105,7.22615101933479,1
"After Payday",1,14,7.69416235884031,1
"Before Payday",10,10,7.36018457015355,1
"After Payday",500,NA,7.68064022064209,1
"Before Payday",5,20,7.6804300347964,1
"Before Payday",35,25000,7.24818144241969,0
"After Payday",100,1000,7.62381323178609,0
"Before Payday",40,2000,7.67203695575396,0
"After Payday",150,10,7.56348666548729,0
"After Payday",100,1700,7.5714649061362,0
"After Payday",35,1500,7.65886806448301,0
"Before Payday",NA,NA,7.59363529086113,0
"Before Payday",NA,NA,7.38032893339793,1
"After Payday",35,125,7.50100301702817,1
"After Payday",80,5000,7.65031776825587,0
"After Payday",40,1000,7.7877311706543,0
"Before Payday",NA,NA,7.36091169714928,0
"Before Payday",60,5000,7.56259658932686,0
"Before Payday",15,5000,7.47783170143763,0
"Before Payday",NA,NA,7.71285219987233,0
"Before Payday",300,4000,7.50870038072268,0
"After Payday",80,1800,7.6292872428894,0
"Before Payday",35,850,7.68765945235888,0
"Before Payday",60,3700,7.55575488011042,0
"After Payday",12,1820,7.5552141169707,0
"After Payday",5,5000,7.34122904141744,0
"Before Payday",0,535,7.49193790555,1
"Before Payday",50,NA,7.54975705345472,1
"Before Payday",1000,4000,7.30125002066294,0
"After Payday",300,4000,7.13043666922528,1
"Before Payday",0,5000,7.4932970503966,1
"After Payday",NA,NA,7.16262377301852,1
"After Payday",100,4000,7.48810101548831,1
"After Payday",NA,NA,7.99677940209707,1
"Before Payday",200,3479,7.41211681564649,0
"Before Payday",0,100,8.08817967772484,1
"Before Payday",50,3000,7.52240839600563,1
"Before Payday",30,300,7.68590595324834,0
"After Payday",97,90,7.83536927898725,1
"After Payday",700,800,7.44797633091609,0
"Before Payday",NA,NA,7.74183165033658,0
"After Payday",73,2100,7.29788179198901,0
"Before Payday",50,56,7.79316894710064,1
"After Payday",80,750,7.48995432257652,0
"After Payday",30,500,6.55400005479654,1
"After Payday",100,1900,7.5691809852918,1
"After Payday",1215,21000,7.47440990805626,0
"After Payday",25,300,7.58020615577698,1
"After Payday",100,0,7.57333505153656,0
"Before Payday",20,1800,7.56926255424817,0
"After Payday",1500,10000,7.60002751151721,1
"After Payday",40,3000,7.39852085709572,0
"After Payday",6,3000,7.28728052973747,0
"Before Payday",1,0,7.72866261998812,0
"Before Payday",189,130,7.54882955551147,1
"After Payday",0,1,7.72352519631386,0
"Before Payday",100,10000,7.14158441623052,0
"Before Payday",50,2000,7.73241464296977,0
"Before Payday",25,1000,7.75588235259056,0
"After Payday",400,175,7.62417395909627,1
"After Payday",3,5,7.41059956947962,0
"After Payday",3,334,7.46999634305636,1
"Before Payday",5,1650,7.10716587305069,1
"Before Payday",200,3000,7.63615492979685,1
"Before Payday",50,200,7.71262267231941,1
"Before Payday",60,2100,7.40682749946912,0
"Before Payday",200,500,7.50919290383657,0
"Before Payday",0,NA,7.65435088674227,1
"Before Payday",2,5,7.75804711381594,0
"After Payday",100,500,7.61489128073057,0
"Before Payday",65,89,7.23917079965274,0
"After Payday",3000,800,7.77528365453084,1
"Before Payday",200,1500,7.48464105526606,0
"After Payday",20,1900,7.60160992542903,0
"Before Payday",20,1200,7.77978179852168,1
"After Payday",20,600,7.37898862361908,0
"After Payday",NA,NA,7.38593962788582,1
"After Payday",0,200,7.5102730691433,1
"After Payday",NA,NA,7.75434998671214,0
"After Payday",10,800,7.46082915862401,0
"After Payday",200,NA,7.58996134003003,1
"After Payday",25,NA,7.40194022655487,0
"Before Payday",500,250,7.7563903927803,0
"After Payday",300,10000,7.5552512605985,0
"Before Payday",45,NA,7.61811559398969,1
"Before Payday",250,6900,7.59707681337992,1
"After Payday",0,2,7.58469521005948,1
"Before Payday",150,425,7.353237003088,0
"Before Payday",NA,NA,7.75563285748164,1
"Before Payday",NA,NA,7.47034550706546,0
"After Payday",100,1000,7.64413178960482,0
"Before Payday",42,20000,7.72138072053591,0
"After Payday",1,650,7.52215201656024,0
"After Payday",35,175,7.19723392526309,0
"After Payday",3000,6000,7.4107357164224,0
"After Payday",1,1100,7.4710465669632,1
"After Payday",25,200,7.4435487985611,0
"After Payday",200,0,7.78475606441498,0
"After Payday",200,NA,7.85833354791005,1
"After Payday",108,750,7.54289162158966,1
"After Payday",2,2000,7.61856090029081,0
"Before Payday",75,3400,7.54474640885989,0
"Before Payday",60,800,7.5948872367541,1
"Before Payday",1,2,7.59236056605975,0
"After Payday",8,500,7.38725861907005,0
"After Payday",35,980,7.35918972889582,0
"After Payday",10,NA,7.62047952413559,1
"Before Payday",10,1700,7.64290994405746,0
"After Payday",20,100,7.91827107469241,1
"Before Payday",16,36,7.64951000610987,0
"After Payday",20,52,7.48965776960055,1
"After Payday",100,NA,7.17413397630056,0
"Before Payday",400,158,7.6692980825901,1
"Before Payday",50,400,7.42897227406502,1
"After Payday",38,294,7.47837154070536,1
"After Payday",NA,NA,7.83172563976712,0
"After Payday",5,1,7.56769968072573,1
"Before Payday",500,13000,7.20434171954791,0
"After Payday",16,110,7.68448393543561,0
"Before Payday",10,50,7.15481626987457,0
"Before Payday",60,7000,7.30126963059107,1
"Before Payday",10,100,7.35802896817525,0
"Before Payday",50,2000,7.5556423664093,0
"After Payday",NA,NA,7.59268088142077,0
"Before Payday",4,20,7.77992119391759,1
"After Payday",20,4000,7.88716528813044,0
"After Payday",300,6287,7.61318905154864,1
"Before Payday",200,1200,7.61374039451281,0
"Before Payday",4,NA,7.70197203755379,1
"Before Payday",30,325,7.47645025451978,0
"After Payday",80,1900,7.71488939722379,1
"Before Payday",2,1200,7.3894212047259,1
"Before Payday",0,NA,8.38780001799265,0
"Before Payday",60,7,8.28588046630224,1
"Before Payday",0,2700,7.37932047247887,0
"After Payday",200,0,7.84057759245237,0
"After Payday",100,3300,7.42427232861519,0
"Before Payday",NA,NA,7.54659176866214,0
"After Payday",60,3000,7.38725203275681,0
"Before Payday",0,10,7.81891591350238,1
"Before Payday",15,600,7.48745985825856,0
"Before Payday",10,NA,5.46678297221661,1
"After Payday",NA,NA,7.60206281145414,1
"After Payday",55,30,7.92320092519124,1
"Before Payday",20,20,7.26098197698593,1
"Before Payday",2,100,7.7174209356308,0
"After Payday",0,NA,7.75604687134425,1
"After Payday",100,40000,7.39619272947311,0
"After Payday",100,20000,7.59573211272558,0
"Before Payday",100,50,7.66606020927429,1
"Before Payday",800,4300,7.66743869582812,0
"Before Payday",73,300,7.49359815319379,0
"After Payday",660,18000,7.40955820679665,0
"Before Payday",NA,NA,7.64328906649635,1
"Before Payday",50,50,7.74956983327866,1
"After Payday",20,17000,7.33603473504384,0
"Before Payday",100,900,7.62514089544614,1
"After Payday",4,300,7.40542701880137,0
"After Payday",10,2000,7.65867259105047,0
"After Payday",200,7000,7.65302234888077,0
"Before Payday",45,39,7.63521288832029,0
"Before Payday",250,18000,7.67352901895841,0
"Before Payday",62,13000,7.85329578320185,1
"After Payday",15,1500,7.47658641139666,0
"After Payday",100,1200,7.61207051078479,0
"Before Payday",92,1100,7.70498220125834,0
"After Payday",10,675,8.16097458203634,0
"After Payday",525,428,7.66128079096476,0
"After Payday",3,200,7.60012802481651,1
"After Payday",25,32000,7.68793894847234,1
"After Payday",2000,2800,7.552769780159,1
"Before Payday",75,3000,7.54036293427149,0
"Before Payday",30,15000,7.61274466911952,0
"Before Payday",30,3200,7.36791395147641,1
"After Payday",77,2775,7.46488806605339,0
"After Payday",200,1500,7.75074216723442,1
"Before Payday",100,8500,7.17711599667867,0
"Before Payday",NA,NA,7.75084799528122,1
"Before Payday",20,NA,7.53112617135048,0
"Before Payday",800,4000,7.6340805987517,1
"After Payday",23,650,7.57025515039762,0
"Before Payday",0,1200,7.79056024551392,0
"Before Payday",2,NA,7.49361891547839,1
"Before Payday",25,200,7.49361463387807,0
"After Payday",0,2900,7.53329751888911,0
"Before Payday",46,NA,7.32678601145744,1
"After Payday",10,20,7.70424847801526,1
"After Payday",20,600,7.54980864127477,1
"After Payday",0,400,7.90060662229856,1
"Before Payday",26,173,7.48241372903188,1
"After Payday",400,4000,7.76144355535507,0
"Before Payday",1,500,7.60544100403786,0
"After Payday",60,2300,7.87414249777794,1
"After Payday",500,NA,7.92063227295876,0
"After Payday",25,500,7.77744806806246,1
"After Payday",125,40000,7.56146136919657,1
"Before Payday",71,1158,7.24601727724075,1
"After Payday",60,300,7.52626833319664,1
"After Payday",80,NA,7.96699401736259,1
"After Payday",70,NA,7.74733733137449,0
"Before Payday",500,15000,7.74076741933823,0
"After Payday",30,80,7.44807916879654,1
"Before Payday",125,25000,7.42875683307648,0
"Before Payday",0,2,7.62622418006261,0
"Before Payday",30,50,7.38286906480789,0
"Before Payday",300,1300,7.21655657887459,0
"After Payday",50,1200,7.66129768888156,0
"After Payday",600,70000,7.90467688441277,0
"After Payday",375,3500,7.68029879530271,0
"Before Payday",100,15000,7.68791061639786,0
"Before Payday",666,NA,7.43856742978096,1
"After Payday",950,NA,7.32069647312164,1
"Before Payday",100,4500,7.23177974422773,0
"Before Payday",3500,4000,7.63277284304301,1
"Before Payday",150,2000,7.75504187742869,1
"After Payday",NA,NA,7.2444562514623,0
"After Payday",80,5000,7.43428325653076,0
"Before Payday",10,50,8.39303475618362,1
"Before Payday",8,400,7.64948188265165,0
"Before Payday",7,30,7.80280837416649,1
"After Payday",100,25000,7.46250409881274,0
"Before Payday",100,300,7.74294715126355,1
"Before Payday",20,2000,7.62902141610781,1
"Before Payday",15,123,7.55861666798592,1
"Before Payday",70,22000,6.26052991549174,1
"After Payday",100,NA,7.66910162568092,1
"After Payday",10,700,7.59179751078288,0
"Before Payday",60,800,7.38405775030454,0
"Before Payday",0,0,7.397735029459,1
"Before Payday",100,1000,7.62779464324315,0
"Before Payday",2,500,7.45438890655835,1
"After Payday",16,1600,7.56856961051623,1
"Before Payday",140,5000,6.02997422218323,1
"Before Payday",NA,NA,7.69507903854052,1
"After Payday",200,2000,7.8120733499527,1
"Before Payday",NA,NA,7.8746359149615,0
"Before Payday",35,NA,7.61906970540683,1
"After Payday",13,600,7.27801340818405,1
"Before Payday",1600,67000,7.55467558900515,0
"After Payday",150,NA,7.55848945180575,1
"Before Payday",10,500,7.51351682345072,1
"Before Payday",175,11000,7.64610508084297,0
"Before Payday",200,0,7.62920134266218,1
"Before Payday",53,9000,7.51021056373914,1
"Before Payday",5,NA,7.49817390243212,1
"After Payday",60,3500,7.71403124928474,0
"After Payday",2,100,7.67497338851293,0
"After Payday",40,9000,7.73048376043638,0
"Before Payday",200,10000,7.64675419529279,0
"After Payday",NA,NA,7.56282006700834,1
"After Payday",20,100,7.53624724348386,0
"After Payday",50,20000,7.62727491060893,0
"Before Payday",0,NA,7.52827725807826,1
"Before Payday",100,850,7.30903366208076,1
"Before Payday",85,5000,7.65269101659457,0
"Before Payday",40,10,7.62209780017535,1
"After Payday",0,6000,7.46452203392982,0
"After Payday",100,400,7.56023361285528,1
"Before Payday",100,400,7.34855512777964,1
"After Payday",50,10000,7.29990774393082,0
"Before Payday",200,194,7.37149794896444,0
"After Payday",NA,NA,7.86548355221748,0
"After Payday",100,1800,7.50152540206909,1
"Before Payday",200,30000,7.94205060601234,0
"After Payday",12,5000,7.78027538458506,1
"After Payday",500,80000,7.33631642659505,0
"After Payday",NA,NA,6.49902672994704,1
"Before Payday",0,125,7.53510741392771,1
"After Payday",10,0,7.49951193730036,0
"After Payday",20,200,6.61733494699001,1
"After Payday",15,1000,7.56739789247513,0
"After Payday",0,1000,7.29059848189354,1
"Before Payday",338,3176,7.63111510872841,0
"After Payday",100,900,7.59336514274279,0
"After Payday",25,80,7.34689915180206,0
"Before Payday",80,2450,7.34094813466072,1
"Before Payday",1100,60000,7.72789908448855,0
"After Payday",5,500,7.59672805666924,0
"After Payday",100,50,7.5971747636795,1
"Before Payday",100,1000,7.66183202465375,0
"After Payday",10,25,7.65927187601725,1
"Before Payday",36,21,7.09869649012883,0
"After Payday",0,7000,7.28254133462906,0
"Before Payday",60,12000,7.8566769460837,0
"After Payday",4852,1722,7.83859171470006,0
"Before Payday",200,0,7.43859638770421,0
"After Payday",500,800,7.50229242444038,0
"Before Payday",300,NA,7.6845105389754,0
"After Payday",32,840,7.47633386651675,1
"Before Payday",100,4000,7.45160810998146,0
"Before Payday",5,500,7.82163380583127,0
"After Payday",125,600,7.68555311361949,0
"Before Payday",200,50,7.76188978552818,0
"After Payday",15,650,7.57927406827609,0
"Before Payday",NA,NA,8.18850728443691,0
"After Payday",7,20,7.69047849376996,1
"After Payday",0,10,7.48444360494614,0
"Before Payday",100,800,7.59747110803922,1
"After Payday",1000,47000,7.24684588114421,0
"Before Payday",NA,NA,7.54507542649905,1
"Before Payday",100,1000,7.61865448951721,0
"After Payday",110,30000,7.85021055738131,0
"Before Payday",NA,NA,7.76843140522639,1
"Before Payday",800,51000,7.6137763261795,0
"After Payday",10,0,7.6253407796224,0
"After Payday",NA,NA,7.49411671360334,0
